52
73 41 72 19 94 18 45 94 75 98 44 69 21 22 68 16 20 82 71 16 89 59 80 62 70 79 36 33 62 27 22 53 83 85 66 50 7 51 72 53 87 92 58 57 6 78 43 60 41 40 56 13 
61
24 70
13 45
39 10
41 30
52 70
31 21
50 41
14 35
30 12
47 79
1 18
38 15
10 77
49 28
38 22
35 56
19 83
28 96
22 50
8 7
17 69
33 40
41 32
25 39
16 47
12 79
25 24
10 46
42 75
39 5
6 93
35 30
9 74
21 76
21 93
47 65
18 17
8 38
4 48
52 34
31 39
11 27
36 50
45 54
46 30
9 45
27 60
9 4
4 18
45 75
14 48
1 45
35 64
24 26
45 1
30 40
8 10
49 8
30 35
52 24
38 15
